# form	pos	lemma	sense	freq
ཁ་ཡོན			1
ཁ་ར			69
ཁ་རལ་བ			2
ཁ་རས			25
ཁ་རི་ལ			
ཁ་རིམས			1
ཁ་རུ			154
ཁ་རུ་ཚྭ			13
ཁ་རུབ་པ			
ཁ་རོ			15
ཁ་རོག			153
ཁ་རྒན་པོ			
ཁ་རྒས་པ			
ཁ་རྒོད་པོ			
ཁ་རྒྱ			8
ཁ་རྒྱན			768
ཁ་རྒྱུག			2
ཁ་རྒྱུན			9
ཁ་རྗེ			40
ཁ་རྡུང			
ཁ་རྩང			36
ཁ་རྩལ			4
ཁ་རྩིས			2
ཁ་རྩོད			1
ཁ་ལ་ཡུག			
ཁ་ལག			84
ཁ་ལང			1
ཁ་ལན			15
ཁ་ལབ			1
ཁ་ལས			93
ཁ་ལས་སྐྱེས			
ཁ་ལེན			7
ཁ་ལེབ			1
ཁ་ལོ			348
ཁ་ལོ་པ			37
ཁ་ལོག			18
ཁ་ལོག་པ			
ཁ་ལྗིད་པོ			
ཁ་ལྟ་བ			3
ཁ་ལྟས			17
ཁ་ལྟིར			
ཁ་ལྡིབ			
ཁ་ལྡིབ་ལྡིབ			
ཁ་ལྤགས			
ཁ་ལྷག			4
ཁ་ཤ			58
ཁ་ཤགས			13
ཁ་ཤས			216
ཁ་ཤིང			1
ཁ་ཤུགས			11
ཁ་ཤུབས			
ཁ་ཤུར			
ཁ་ཤོ			1
ཁ་ཤོབ			1
ཁ་ཤོམ			
ཁ་ཤྭ			
ཁ་ས			82
ཁ་ས་ཁ་ཉིན			
ཁ་སང			267
ཁ་སུབ			
ཁ་སུར			
ཁ་སེང			4
ཁ་སོ			39
ཁ་སོང			
ཁ་སྐད			9
ཁ་སྐོང			2094
ཁ་སྐོམ			13
ཁ་སྐྱུར			5
ཁ་སྐྱེངས			3
ཁ་སྐྱེད			
ཁ་སྐྱེལ			
ཁ་སྐྱོང			2
ཁ་སྒོ			62
ཁ་སྒྲོག			1
ཁ་སྒྲོབ			
ཁ་སྒྲོམ			
ཁ་སྙོམས			
ཁ་སྟན			
ཁ་སྟབས			3
ཁ་སྟོང			4
ཁ་སྟོབས			4
ཁ་སྡུམ			
ཁ་སྡུར			
ཁ་སྣོན			15
ཁ་སྤམ			
ཁ་སྤུ			698
ཁ་སྤོས་པ			
ཁ་སྤྱིན			
ཁ་སྤྲད			3
