# form	pos	lemma	sense	freq
ཕྱེ་མ་ལེབ	OTHER			
ཕྱེད	NUM			19919
ཕྱོགས	NOUN			111807
ཕྲ	NOUN			6506
ཕྲག	NUM			34204
ཕྲག་དོག	NOUN			5852
ཕྲད	VERB			4353
ཕྲན	OTHER			1890
ཕྲིན	NOUN			1253
ཕྲིན་ལས	NOUN			36224
ཕྲུ་གུ	NOUN			473
ཕྲུག་གུ	NOUN			
ཕྲེང	OTHER			
འཕགས	VERB			
འཕང	VERB			1549
འཕར				629
འཕེན	VERB			
འཕེལ	VERB			
འཕོ	VERB			
འཕོང	VERB			508
འཕོས	VERB			
འཕྲུལ	VERB			
འཕྲོ	NOUN			
འཕྲོག	VERB			2110
འཕྲོགས	VERB			
བ	X			
བ་དན	NOUN			3495
བག	NOUN			6955
བག་ཆགས	NOUN			17981
བག་ཚ	NOUN			
བང་མཛོད	NOUN			1557
བད་ཀན	OTHER			705
བན	OTHER			449
བན་དེ	NOUN			102
བན་བུན				114
བབ	VERB			6709
བབས	VERB			6660
བར	NOUN			116325
བར་ཆད	NOUN			22632
བར་མ་དོ				
བལ་བ་ཛ				
བུ	NOUN			74929
བུ་ག	NOUN			3320
བུ་ཡུག	NOUN			312
བུ་རམ་ཤིང	NOUN			
བུག				340
བུང				
བུད་ཤིང	NOUN			3339
བུམ	NOUN			
བེ་ཅོན				671
བེམས				
བེའུ	NOUN			510
བོང	NOUN			
བོང་བ				293
བོང་བུ་				
བོད	PROPN			19030
བོར	VERB			4797
བྱ	VERB			
